ID,title,description,event_date,start_time,end_time,location,mandal_ID,has_fine,fine_amount,fine_deadline,createdAt,createdBy,modifiedAt,modifiedBy
29342403-1af7-4eee-ae7c-46dfa188a151,Paryushan Mahaparv Day 1,Annual 8-day Jain festival of fasting and forgiveness,2024-11-04,17:00:00,20:00:00,"Maninagar, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,true,100.00,2024-11-11,2024-09-20T18:30:00.000Z,system,2023-07-22T18:30:00.000Z,system
29342404-8dc3-45c5-a77b-8219ff795b03,Samvatsari Pratikraman,Annual forgiveness ceremony on last day of Paryushan,2024-04-05,18:00:00,21:00:00,"Citylight, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,true,200.00,2024-04-12,2023-01-05T18:30:00.000Z,system,2024-12-22T18:30:00.000Z,system
29342405-317b-49fc-ba03-6a40b65e3303,Mahavir Jayanti Celebration,Celebration of Lord Mahavir's birth anniversary,2023-08-08,10:00:00,13:00:00,"University Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,true,150.00,2023-08-15,2024-08-14T18:30:00.000Z,system,2023-04-15T18:30:00.000Z,system
29342406-49b9-47f7-83b5-31c448fc327b,Das Lakshan Parv,10-day festival celebrating ten dharmas of Jainism,2024-07-03,10:00:00,13:00:00,"CG Road, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,true,100.00,2024-07-10,2023-07-21T18:30:00.000Z,system,2024-04-13T18:30:00.000Z,system
29342407-90c8-4a29-9d3d-abdad5a29c02,Monthly Satsang - May,Monthly spiritual gathering with discourse and bhajan,2023-04-27,16:00:00,20:00:00,"Pal, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,true,50.00,2023-05-04,2024-06-24T18:30:00.000Z,system,2024-10-16T18:30:00.000Z,system
29342408-cfbb-4308-a8b3-bffbf4b84bbc,Guru Purnima Celebration,Honoring teachers and gurus,2023-11-17,18:00:00,21:00:00,"150 Feet Ring Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,false,0.00,,2024-08-24T18:30:00.000Z,system,2023-04-27T18:30:00.000Z,system
29342409-ce49-4656-b9ca-31e74cb1b18a,Diwali Milan Samaroh,Diwali get-together and celebration,2023-12-23,16:00:00,19:00:00,"Naranpura, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,false,0.00,,2023-06-26T18:30:00.000Z,system,2024-11-20T18:30:00.000Z,system
29342410-7e18-4b3b-9df5-c9ef5f102b26,Annual General Meeting 2024,Yearly mandal AGM for committee elections,2024-12-23,16:00:00,20:00:00,"Dumas Road, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,true,100.00,2024-12-30,2023-03-28T18:30:00.000Z,system,2024-11-19T18:30:00.000Z,system
29342411-ff08-4991-a483-bf5544d77db6,Youth Leadership Camp,3-day camp for developing leadership skills,2023-05-18,16:00:00,18:00:00,"Pedak Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,false,0.00,,2023-11-09T18:30:00.000Z,system,2023-04-30T18:30:00.000Z,system
29342412-327d-4117-b0c8-4cae3a3a844e,Cricket Tournament,Annual inter-mandal cricket competition,2023-07-07,16:00:00,20:00:00,"Satellite, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,false,0.00,,2024-06-07T18:30:00.000Z,system,2024-02-02T18:30:00.000Z,system
29342413-306c-4d1e-96b3-c54466638330,Swami Vatsalya Bhojan,Community feast on auspicious occasion,2024-03-04,18:00:00,20:00:00,"Dumas Road, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,false,0.00,,2024-01-28T18:30:00.000Z,system,2024-03-09T18:30:00.000Z,system
29342414-4834-4b4e-a74f-e1357f934328,Navkar Mantra Jaap,Collective chanting session of Navkar Mantra,2023-07-10,17:00:00,21:00:00,"Jamnagar Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,true,50.00,2023-07-17,2024-07-22T18:30:00.000Z,system,2023-06-20T18:30:00.000Z,system
29342415-f062-4b3f-975f-249c8b9f8c83,Book Reading Session,Monthly Jain literature reading and discussion,2024-05-16,16:00:00,18:00:00,"Satellite, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,false,0.00,,2023-11-19T18:30:00.000Z,system,2024-04-06T18:30:00.000Z,system
29342416-d430-4dac-9d2c-c6b9d06e246f,Ahimsa Diwas,Non-violence awareness day program,2024-09-26,09:00:00,12:00:00,"Vesu, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,false,0.00,,2024-05-11T18:30:00.000Z,system,2023-05-20T18:30:00.000Z,system
29342417-d6b2-4dfc-9387-cb2daee252e4,Bhaktamar Stotra Path,Recitation of Bhaktamar Stotra,2023-07-19,17:00:00,21:00:00,"Kalavad Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,true,50.00,2023-07-26,2024-02-23T18:30:00.000Z,system,2024-12-02T18:30:00.000Z,system
29342418-fcb7-4672-9ff6-732722b45c55,Paryushan Mahaparv Day 6,Annual 8-day Jain festival of fasting and forgiveness,2024-05-18,17:00:00,21:00:00,"Prahlad Nagar, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,true,100.00,2024-05-25,2024-03-30T18:30:00.000Z,system,2024-05-15T18:30:00.000Z,system
29342419-5dc1-4d07-8285-8ecda351ae08,Samvatsari Pratikraman,Annual forgiveness ceremony on last day of Paryushan,2023-06-21,09:00:00,13:00:00,"Vesu, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,true,200.00,2023-06-28,2023-08-14T18:30:00.000Z,system,2023-10-27T18:30:00.000Z,system
29342420-ad11-47f5-8140-abe21f25a443,Mahavir Jayanti Celebration,Celebration of Lord Mahavir's birth anniversary,2023-02-03,16:00:00,18:00:00,"Aji Dam Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,true,150.00,2023-02-10,2023-06-22T18:30:00.000Z,system,2024-04-13T18:30:00.000Z,system
29342421-66cf-4fb1-aa83-c353c81d504e,Das Lakshan Parv,10-day festival celebrating ten dharmas of Jainism,2024-08-02,19:00:00,22:00:00,"Shahibaug, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,true,100.00,2024-08-09,2024-06-07T18:30:00.000Z,system,2023-04-26T18:30:00.000Z,system
29342422-00b0-4031-9f39-6927ad926e04,Monthly Satsang - August,Monthly spiritual gathering with discourse and bhajan,2024-08-09,09:00:00,12:00:00,"Althan, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,true,50.00,2024-08-16,2024-01-11T18:30:00.000Z,system,2024-07-09T18:30:00.000Z,system
29342423-7f3c-4d4f-a92d-f0f0c77cbb03,Guru Purnima Celebration,Honoring teachers and gurus,2023-02-12,19:00:00,22:00:00,"Pedak Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,false,0.00,,2024-03-11T18:30:00.000Z,system,2023-04-15T18:30:00.000Z,system
29342424-74ad-477d-b048-157559578d3c,Diwali Milan Samaroh,Diwali get-together and celebration,2024-10-31,10:00:00,13:00:00,"Prahlad Nagar, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,false,0.00,,2023-02-03T18:30:00.000Z,system,2024-04-05T18:30:00.000Z,system
29342425-4189-4d8b-9a28-8e6bfee95ccb,Annual General Meeting 2023,Yearly mandal AGM for committee elections,2023-09-27,16:00:00,18:00:00,"Pal, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,true,100.00,2023-10-04,2023-05-01T18:30:00.000Z,system,2023-08-31T18:30:00.000Z,system
29342426-d8a9-427b-baf5-98016042b72a,Youth Leadership Camp,3-day camp for developing leadership skills,2023-08-03,19:00:00,23:00:00,"Raiya Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,false,0.00,,2024-12-28T18:30:00.000Z,system,2024-09-16T18:30:00.000Z,system
29342427-32cd-4ce7-bab8-2f8fb9db4d20,Cricket Tournament,Annual inter-mandal cricket competition,2024-10-09,17:00:00,19:00:00,"Naranpura, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,false,0.00,,2023-05-23T18:30:00.000Z,system,2023-07-31T18:30:00.000Z,system
29342428-c341-49ce-982a-8cdee59000c7,Swami Vatsalya Bhojan,Community feast on auspicious occasion,2023-07-31,09:00:00,13:00:00,"Katargam, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,false,0.00,,2024-06-29T18:30:00.000Z,system,2023-10-15T18:30:00.000Z,system
